==27356== NVPROF is profiling process 27356, command: ./build_bs_256/external_forces
==27356== Warning: Unified Memory Profiling is not supported on devices of compute capability less than 3.0
==27356== Profiling application: ./build_bs_256/external_forces
==27356== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
331.125576,22.717000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1115]"
331.149713,24.347000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1123]"
331.175479,24.485000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1131]"
331.201370,24.154000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1139]"
331.226937,23.664000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1147]"
331.252020,23.658000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1155]"
331.277099,24.166000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1163]"
331.302683,21.479000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1171]"
331.325573,24.508000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1179]"
331.351503,24.152000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1187]"
331.377066,23.784000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1195]"
331.402271,23.052000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1203]"
331.426747,23.688000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1211]"
331.451857,23.267000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1219]"
331.476546,23.977000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1227]"
331.501935,24.051000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1235]"
